id,isVisible,tel,title,description,price,schoolName,schoolUrl,note,image,abstract
1,0,514-123-123,"Apprenez à fabriquer vos propres baumes à lèvres, pommades diverses et cold creams!","<p><span style=""color: rgb(31, 73, 125); font-family: Tahoma, sans-serif; font-size: 11px; line-height: normal;"">Dans cet atelier, vous verrez les principes de bases afin de cr&eacute;er des produits sains pour vous et votre famille. Vous apprendrez &agrave; &eacute;laborer des baumes &agrave; l&egrave;vres, des &nbsp;pommades th&eacute;rapeutiques et un gel contour des yeux. Les ingr&eacute;dients propos&eacute;s pour la fabrication de ces produits sont biologiques et naturels. Vous utiliserez des beurres et des huiles v&eacute;g&eacute;tales, des hydrolats, des huiles essentielles, des mac&eacute;rats de plantes et plus encore. Une belle fa&ccedil;on d&#39;&eacute;conomiser tout en respectant son corps et son environnement!</span><br /><span style=""line-height: 20.7999992370605px;"">Dur&eacute;e: 2h30</span></p>","<p>45$. Inscrivez-vous avec une amie et &eacute;conomisez chacune 5$! Ce prix inclus les notes de cours et 1&nbsp;&eacute;chantillon&nbsp;de produit&nbsp;fabriqu&eacute;&nbsp;sur place.</p>","","","Réservez votre place en laissant un dépôt de 10$ à l'Éco-Boutique Un Monde à Vie.",atelier_image/baume2_norWNWe_zTL6ikq.jpg,""
2,0,1,"Les desserts et les petites gâteries","Venez passer 2 heures à apprendre à cuisiner et déguster des gâteries crues! Avec plein de super-aliments! Ces bouchées feront fureur durant le temps des fêtes!
Théorie et pratique. Notes de cours fournies.","60$
<br>
Merci de faire un dépôt de 10$ pour réserver votre place
<br>
Appelez-nous au 450-474-5078","","","Inscrivez-vous vite!",/media/atelier_image/jocelyne_lavergne_MdiO4sl.png,""
3,0,4504745078,"Savons 1","<p>Voyez comment fabriquer vos propres savons selon la m&eacute;thode ancestrale. Vous d&eacute;couvrirez des ingr&eacute;dients merveilleux pour la peau, tels que les beurres de coco, de cacao, de karit&eacute;, les huiles d&rsquo;olive, d&rsquo;avocat, etc, ainsi que des huiles essentielles. Apprenez les propri&eacute;t&eacute;s de ces divers ingr&eacute;dients. Cela vous permettra de fabriquer des savons qui conviennent mieux &agrave; votre type de peau particulier.</p>","<p>42$ avec 1 &eacute;chantillon<br /><span style=""line-height: 20.8px;"">R&eacute;server votre place en laissant un d&eacute;p&ocirc;t de 10$ lors de votre prochaine visite &agrave; l&#39;&Eacute;co-Boutique.</span></p>","","","<p>Merci de payer la balance en argent comptant directement &agrave; Mme Dionne.<br /><br />&nbsp;</p>",/media/atelier_image/savons-parf-1.jpg,"<p><span style=""line-height: 20.7999992370605px;"">Voyez comment fabriquer vos propres savons selon la m&eacute;thode ancestrale.</span></p>"
4,1,450-474-5078,"Introduction à l'aromathérapie","<p>Apprenez &agrave;&nbsp;constituer votre PHARMACIE NATURELLE &agrave; l&rsquo;aide de 8 Huiles Essentielles.<br />Vous apprendrez comment&nbsp;:</p><ul><li>Remplacer les Tylenol, Vicks, Off, Robaxacet, etc par des huiles essentielles.</li><li>Fabriquer un chasse-moustique naturel et sain pour toute la famille.</li><li>Renforcer votre syst&egrave;me immunitaire et minimiser les chances d&rsquo;attraper &laquo;&nbsp;tout ce qui passe &raquo;&nbsp; - infections diverses, rhume, pneumonie, gastro-ent&eacute;rite, etc d&eacute;sinfecter votre environnement au travail ou &agrave; la maison avec des huiles essentielles comment utiliser les huiles essentielles pour am&eacute;liorer votre bien-&ecirc;tre (insomnies, anxi&eacute;t&eacute;, fatigue, surmenage, etc)<br />Les Huiles Essentielles ont des propri&eacute;t&eacute;s permettant de traiter naturellement les maux courants et autres &laquo; bobos &raquo; de la vie quotidienne!<br />Les Huiles Essentielles se substituent ais&eacute;ment aux produits que nous avons tous dans nos armoires: aspirine, ibuprof&egrave;ne, pastilles et sirops pour la toux, onguents antiseptiques, relaxants musculaires et autres, mais qui sont souvent faits &agrave; base d&rsquo;ingr&eacute;dients chimiques et synth&eacute;tiques, parfois m&ecirc;me &agrave; base de p&eacute;trole. Certains peuvent m&ecirc;me avoir des effets secondaires ind&eacute;sirables.</li></ul>","<p>35$ pas d&rsquo;&eacute;chantillon</p>","","","<p>R&eacute;server votre place en laissant un d&eacute;p&ocirc;t de 10$ &agrave; la boutique.</p>",/media/atelier_image/huiles-essentielles-aromatherapie.jpg,"<p><span style=""line-height: 20.7999992370605px;"">Apprenez &agrave;&nbsp;constituer votre PHARMACIE NATURELLE &agrave; l&rsquo;aide de 8 Huiles Essentielles.</span></p>"
5,1,450-474-5078,"Fabrications de crèmes hydratantes","<p>Lors de cet atelier, vous verrez les principes de bases afin de cr&eacute;er des produits sains pour vous et votre famille. Apprenez &agrave; &eacute;laborer deux types de cr&egrave;mes, aux textures et usages diff&eacute;rents. Les ingr&eacute;dients propos&eacute;s pour la fabrication de ces produits sont biologiques et naturels. Vous utiliserez des beurres et des huiles v&eacute;g&eacute;tales, des hydrolats, des huiles essentielles, et plus encore. Vous verrez aussi les propri&eacute;t&eacute;s de ces ingr&eacute;dients pour la peau. Une belle fa&ccedil;on de prendre soin de soi tout en respectant son corps et son environnement.<br />&nbsp;</p>","<p>45$ avec 2&nbsp;&eacute;chantillons.<br />Laissez un d&eacute;p&ocirc;t de 10$ pour r&eacute;server votre place.</p>","","","",/media/atelier_image/creme-maison.jpg,"<p><span style=""line-height: 20.8px;"">Lors de &nbsp;cet atelier, vous verrez les principes de bases afin de cr&eacute;er des produits sains pour vous et votre famille.</span></p>"
6,0,450-477-2232,"Apprendre à mieux gérer son stress avec la conscience supramentale","<p>Atelier/conf&eacute;rence pour mieux s&#39;appr&eacute;cier et aller de l&#39;avant dans sa vie. Avec des exercices amusants et conscients, cet atelier permet d&#39;apprendre &agrave; savoir qui on est , &agrave; g&eacute;rer son stress et &agrave; s&#39;aimer davantage. Ce n&#39;est pas parce qu&#39;on s&#39;amuse qu&#39;on ne prend pas les choses au s&eacute;rieux!<br />Venez passer vos dimanches apr&egrave;s-midi avec votre r&eacute;gisseure de stress Louise Pasquier.<br />Elle saura vous amener vers une conscience plus &eacute;lev&eacute;e de vous-m&ecirc;me.&nbsp;<br /><br /><strong>Qui est Louise Pasquier?&nbsp;</strong><br />Louise vit avec la scl&eacute;rose en plaques depuis bient&ocirc;t 16 ans, qu&#39;elle r&eacute;ussit &agrave; contr&ocirc;ler assez bien. Ancienne r&eacute;gisseure de plateau de t&eacute;l&eacute;vision pendant 20 ans, elle a su r&eacute;gir son stress sur des &eacute;missions tel que le Byebye, les G&eacute;maux, le gala de l&#39;Adisq, le gala de la Presse et plusieurs autres. Formation en PNL, en biologie totale, en DMOKA, en constellations familiales, en coh&eacute;rence cardiaques, en yoga du rire, com&eacute;dienne, artiste-peintre depuis plus de 30 ans, elle enseigne la peinture et &eacute;tudie profond&eacute;ment la conscience supramentale.&nbsp;</p>",<p>20$</p>,"Equinoxe solutions",http://www.zen-stress.com/,"",/media/atelier_image/Louise_pasquier_p.jpg,"<p><span style=""line-height: 20.7999992370605px;"">Atelier/conf&eacute;rence pour mieux s&#39;appr&eacute;cier et aller de l&#39;avant dans sa vie. Avec des exercices amusants et conscients, cet atelier permet d&#39;apprendre &agrave; savoir qui on est , &agrave; g&eacute;rer son stress et &agrave; s&#39;aimer davantage. Ce n&#39;est pas parce qu&#39;on s&#39;amuse qu&#39;on ne prend pas les choses au s&eacute;rieux!</span></p>"
7,0,438-807-3760,"Les Super Aliments qui nous revitalisent!","<p class=""MsoNormal"" style=""mso-margin-top-alt:auto;margin-bottom:0cm;margin-bottom:
.0001pt;line-height:normal"">&nbsp;</p><p class=""MsoNormal"" style=""mso-margin-top-alt:auto;margin-bottom:0cm;margin-bottom:
.0001pt;line-height:normal""><b><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;
mso-fareast-font-family:&quot;Times New Roman&quot;;color:#222222;mso-fareast-language:
FR-CA"">Les supers Aliments et leurs effets &eacute;nergisants, revitalisants, antioxydants, nourissants et oxyg&eacute;nants.</span></b><span style=""font-size: 12pt; font-family: 'Times New Roman', serif;""><o:p></o:p></span></p><ul type=""disc""><li class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;
     mso-fareast-font-family:&quot;Times New Roman&quot;;color:#222222;mso-fareast-language:
     FR-CA"">Les supers aliments: Maca, chlorella et spiruline, chanvre, chia, lin,poudre nutritives ayurv&eacute;diques, poudres prot&eacute;in&eacute;es de Vega...</span><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;mso-fareast-font-family:
     &quot;Times New Roman&quot;;mso-fareast-language:FR-CA""><o:p></o:p></span></li><li class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;
     mso-fareast-font-family:&quot;Times New Roman&quot;;color:#222222;mso-fareast-language:
     FR-CA"">La puissance des jus et des smoothies verts sur notre &eacute;nergie vitale.</span><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;
     mso-fareast-font-family:&quot;Times New Roman&quot;;mso-fareast-language:FR-CA""><o:p></o:p></span></li><li class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;
     mso-fareast-font-family:&quot;Times New Roman&quot;;color:#222222;mso-fareast-language:
     FR-CA"">L&#39;ayurveda, une science &agrave; s&#39;inspirer au quotidien.&nbsp;</span><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;mso-fareast-font-family:
     &quot;Times New Roman&quot;;mso-fareast-language:FR-CA""><o:p></o:p></span></li><li class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal;""><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;
     mso-fareast-font-family:&quot;Times New Roman&quot;;color:#222222;mso-fareast-language:
     FR-CA"">Quelles sont les effets des supers aliments sur notre &eacute;quilibre acido-basique?</span><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;
     mso-fareast-font-family:&quot;Times New Roman&quot;;mso-fareast-language:FR-CA""><o:p></o:p></span></li></ul><p class=""MsoNormal"" style=""mso-margin-top-alt:auto;margin-bottom:0cm;margin-bottom:
.0001pt;line-height:normal""><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;
mso-fareast-font-family:&quot;Times New Roman&quot;;color:#222222;mso-fareast-language:
FR-CA"">D&eacute;gustation et d&eacute;couvertes vous attendent!</span><br /><br /><span style=""font-size: 12pt; font-family: 'Times New Roman', serif;""><b>Une pr&eacute;sentation de Marie-Eve:</b><o:p></o:p></span></p><p class=""MsoNormal"" style=""mso-margin-top-alt:auto;mso-margin-bottom-alt:auto;
line-height:12.5pt""><span style=""font-size: 12pt; font-family: 'Times New Roman', serif;"">Nous cherchons tous &agrave; augmenter notre vitalit&eacute; au quotidien&hellip; et ainsi arriver &agrave; maintenir et augmenter notre niveau d&rsquo;&eacute;nergie afin de conserver&nbsp; bonne sant&eacute;, bonne humeur, positivisme et pleine efficacit&eacute;!!! Toutes les solutions et moyens &nbsp;doivent &ecirc;tre mis &agrave; notre port&eacute;e pour atteindre cet objectif fondamental!<o:p></o:p></span></p><p class=""MsoNormal"" style=""mso-margin-top-alt:auto;mso-margin-bottom-alt:auto;
line-height:12.5pt""><span style=""font-size: 12pt; font-family: 'Times New Roman', serif;"">Certes nous devons agir sur notre mental par diff&eacute;rents moyens comme la m&eacute;ditation, le yoga, &nbsp;etc. et sur notre corps physiqueen adoptant de saines habitudes de vie parl&rsquo;exercice au quotidienet en choisissantce que nous ing&eacute;rons. Nous sous-estimons l&rsquo;impact de la qualit&eacute; et du choix de ce que constitue nos assiettes. &nbsp;C&rsquo;est pourquoi cet atelier est une invitation &agrave; bien manger certes, mais&nbsp; aussi &agrave; introduire &agrave; cette saine alimentation des *super-aliments*!<o:p></o:p></span></p><p class=""MsoNormal"" style=""mso-margin-top-alt:auto;mso-margin-bottom-alt:auto;
line-height:12.5pt""><span style=""font-size: 12pt; font-family: 'Times New Roman', serif;"">Agricultrice et yogi, Marie-Eve Monfils est co-fondatrice de la Ferme biologique&nbsp;&Ouml; Saine Terre &agrave; l&rsquo;Assomption ou elle participe &agrave; l&rsquo;&eacute;laboration de plus de 450 paniers biologiques selon la logique de l&rsquo;ASC promue par Equiterre. Enseignante en yoga, elle est&nbsp; &eacute;galement fondatrice de l&rsquo;entreprise Biophileyoga. C&rsquo;est par le biais de cette entreprise qu&rsquo;elle souhaite sensibiliser sur la saine alimentation et enseigner comment retrouver un rythme de vie sain par le Yoga.&nbsp;&nbsp;<o:p></o:p></span></p><p class=""MsoNormal"" style=""mso-margin-top-alt:auto;mso-margin-bottom-alt:auto;
line-height:12.5pt""><span style=""font-size: 12pt; font-family: 'Times New Roman', serif;"">C&rsquo;est au cours de ses &eacute;tudes en agriculture et d&eacute;veloppement international,&nbsp; en sociologie &agrave; L&rsquo;UQAM et ainsi qu&rsquo;en Ma&icirc;trise en gestion et gouvernance des coop&eacute;ratives &nbsp;qu&rsquo;elle r&eacute;alisera comment les valeurs coop&eacute;ratives sont importantes pour le d&eacute;veloppement d&rsquo;une soci&eacute;t&eacute; plus juste, &eacute;quitable et &eacute;co-responsable et que c&rsquo;est par l&rsquo;action inspir&eacute;e que tout projet de soci&eacute;t&eacute; se cr&eacute;e.<o:p></o:p></span></p><p class=""MsoNormal"" style=""mso-margin-top-alt:auto;mso-margin-bottom-alt:auto;
line-height:12.5pt""><span style=""font-size: 12pt; font-family: 'Times New Roman', serif;"">Au fil des ann&eacute;es, apr&egrave;s avoir cultiv&eacute; et cuisin&eacute; plus de 50 vari&eacute;t&eacute;s de fruits et l&eacute;gumes sur sa ferme, elle souhaite partager ses trucs et astuces sant&eacute; pour en faire b&eacute;n&eacute;ficier une plus grande majorit&eacute;. &Eacute;nergique et inspirante, Marie-Eve aimera vous rencontrer et &eacute;changer avec vous sur ces plans!<o:p></o:p></span></p><p class=""MsoNormal""><span style=""font-size:12.0pt;line-height:115%;font-family:
&quot;Times New Roman&quot;,&quot;serif&quot;""><o:p>&nbsp;</o:p></span></p><p class=""MsoNormal"">&nbsp;</p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;""><span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;
mso-fareast-font-family:&quot;Times New Roman&quot;;color:#222222;mso-fareast-language:
FR-CA""><o:p></o:p></span></p><p class=""MsoNormal"" style=""margin-bottom:0cm;margin-bottom:.0001pt;line-height:
normal""><span style=""font-size:8.0pt;font-family:&quot;Arial&quot;,&quot;sans-serif&quot;;
mso-fareast-font-family:&quot;Times New Roman&quot;;color:#222222;mso-fareast-language:
FR-CA""><o:p></o:p></span></p>","<p>25$ pour un cours de 2h</p>","Ferme Ô Saine Terre",http://www.osaineterre.org/,"",/media/atelier_image/m-e_monfils.jpg,"<p><strong style=""color: rgb(34, 34, 34); font-family: 'Times New Roman', serif; font-size: 16px; line-height: normal;"">Les supers Aliments et leurs effets &eacute;nergisants, revitalisants, antioxydants, nourissants et oxyg&eacute;nants.</strong></p><p>Nous cherchons tous &agrave; augmenter notre vitalit&eacute; au quotidien&hellip; et ainsi arriver &agrave; maintenir et augmenter notre niveau d&rsquo;&eacute;nergie afin de conserver &nbsp;bonne sant&eacute;, bonne humeur, positivisme et pleine efficacit&eacute;!!! Toutes les solutions et moyens &nbsp;doivent &ecirc;tre mis &agrave; notre port&eacute;e pour atteindre cet objectif fondamental!</p>"
8,0,"","Jacynthe René en tournée","<p>En partenariat avec l&#39;&Eacute;co-Boutique Un Monde &agrave; Vie, Jacynthe Ren&eacute; viendra &agrave; la Maison C&ocirc;te-&agrave;-C&ocirc;te pr&eacute;senter sa conf&eacute;rence!</p><p>SUJETS ABORD&Eacute;S</p><ul><li>Revisiter l&#39;abondance et le succ&egrave;s.</li><li>Revoir les id&eacute;es pr&eacute;con&ccedil;ues, se questionner pour mieux se retrouver.</li><li>Alimentation vivifiante et soins de beaut&eacute; naturels: le gros bon sens!</li><li>S&#39;offrir le luxe d&#39;&ecirc;tre le reflet de nos r&eacute;alisations, d&eacute;sirs et passions.</li><li>Donner un sens &agrave; sa vie (et se conscientiser de l&#39;urgence de le faire).</li><li>Vivre la puret&eacute; de l&#39;intention, l&#39;authenticit&eacute;.Rayonner, attirer, resplendir.</li><li>Visitez son site web pour lire la description.</li></ul><p><a target=""_blank"" href=""http://jmagazine.ca/Conference"">Visitez son site web pour lire la description</a></p>","<p>25$<br /><a target=""_blank"" href=""http://jmagazine.ca/Conference"">En vente uniquement sur son site web</a>.&nbsp;</p>","J Magazine",http://jmagazine.ca/Conference,"",/media/atelier_image/jacinthe_rene_p.jpg,"<p>En partenariat avec l&#39;&Eacute;co-Boutique Un Monde &agrave; Vie, Jacynthe Ren&eacute; viendra &agrave; la Maison C&ocirc;te-&agrave;-C&ocirc;te pr&eacute;senter sa conf&eacute;rence!</p>"
9,0,450-474-5078,"Journée de conférences gratuites","<p><strong>10h </strong>Pourquoi consultez un/e naturopathe?<br />&nbsp;&nbsp; Avec <a href=""http://www.mondeavie.ca/charlene-bourgon""><strong>Charl&egrave;ne Bourgon</strong></a> et <a target=""_blank"" href=""http://www.mondeavie.ca/natacha-leclerc""><strong>Natacha Leclerc</strong></a>, associ&eacute;e &agrave; l&#39;&Eacute;co-Boutique Un Monde &agrave; Vie<br /><br /><strong>11h</strong> <span style=""line-height: 20.7999992370605px;"">Les bienfaits du massage: la sant&eacute; par les mains!</span><br />&nbsp;&nbsp; Avec <strong>Nathalie Beaulieu</strong>, <span style=""font-size: 12pt; font-family: Cambria, serif;"">M</span><span style=""line-height: 20.7999992370605px;"">assoth&eacute;rapeuthe agr&eacute;&eacute;s et fo</span><span style=""line-height: 1.6;"">ndatrice des services de massoth&eacute;rapie, ateliers et conf&eacute;rences</span><span style=""line-height: 1.6;"">&nbsp;</span><a style=""line-height: 1.6;"" href=""https://www.facebook.com/pages/Apaisanteur/1437899716454392?fref=ts"">Apaisanteur</a><br />&nbsp; &nbsp;<span style=""font-size:10.0pt;font-family:&quot;Arial&quot;,&quot;sans-serif&quot;"">Cette pr&eacute;sentation vous permettra d&rsquo;exp&eacute;rimenter des techniques d&rsquo;automassage, de massage en &eacute;quipe de deux (dos, bras, mains) et d&rsquo;influence de notre &eacute;nergie par l&rsquo;intention. Le toucher est le 1<sup>er</sup> de nos cinq sens &agrave; se d&eacute;velopper. Vous en apprendrez de nombreux impacts bienfaisants et puissants sur notre sant&eacute;, tant pour le d&eacute;veloppement des enfants (massage aux b&eacute;b&eacute;s, en garderie et en milieu scolaire) que pour nos relations familiales et professionnelles (ateliers parent-enfant et massage en entreprise).</span><br /><br /><strong>12h</strong> <span style=""font-size:8.0pt;line-height:115%;
font-family:&quot;Arial&quot;,&quot;sans-serif&quot;;mso-fareast-font-family:Calibri;mso-fareast-theme-font:
minor-latin;mso-ansi-language:FR-CA;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA"">Enfin j&#39;&eacute;quilibre ma vie! Atelier anim&eacute; et participatif avec la roue des 7 jardins.</span><br />&nbsp;&nbsp; Avec <strong>Caroline Veilleux</strong>, <a href=""https://www.facebook.com/pages/Coaching-Hypnose-Caroline-Veilleux/708520599243482?fref=ts"">Coach de vie &amp; PNL certifi&eacute;e</a><br />&nbsp; &nbsp;<span style=""font-family:&quot;Arial&quot;,&quot;sans-serif&quot;"">L&rsquo;atelier consiste &agrave; identifier votre niveau d&rsquo;&eacute;quilibre vital &agrave; travers les diff&eacute;rentes sph&egrave;res de vos vies. Cet outil nous offre l&rsquo;opportunit&eacute; de prendre du recul sur notre vie. En visualisant le tout, vous prendrez conscience de certains obstacles, croyances, peurs, etc. Des outils (PNL et hypnose) seront explor&eacute;s afin de d&eacute;lier ceux-ci et ainsi am&eacute;liorer votre qualit&eacute; de vie. Vous le m&eacute;ritez!<o:p></o:p></span></p><p><span style=""font-family:&quot;Arial&quot;,&quot;sans-serif&quot;""><o:p></o:p></span></p><p><br /><strong>13h</strong> <span style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; line-height: normal;"">AU FOND DE L&#39;EAU</span><br />&nbsp;&nbsp; Avec <strong>Fran&ccedil;ois Lavoie</strong>, curieux de nature<br />&nbsp;&nbsp;&nbsp;<span style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; line-height: normal;"">Les questions que l&#39;on se pose sur l&#39;eau &agrave; boire.&nbsp;<br />&nbsp;&nbsp;(Eau du robinet, filtr&eacute;e, osmos&eacute;e, ionis&eacute;e, distill&eacute;e, embouteill&eacute;e)</span><br /><br /><strong>14h</strong> <span style=""line-height: 20.7999992370605px;"">D&eacute;couvrir l&#39;Om&eacute;ga juicer - le &quot;juicer&quot;!!</span><br />&nbsp;&nbsp; Avec <strong>Julie Geoffroy</strong>, Nd</p><p><strong>15h</strong> Des smoothies pour tous les go&ucirc;ts!<br />&nbsp;&nbsp; Avec <strong>Marianne Girard,&nbsp;<br />&nbsp;&nbsp; </strong>D&eacute;couvrez les verts! Les prot&eacute;ines v&eacute;g&eacute;tales! et les super-aliments</p><p><strong>16h</strong> D&eacute;couvrez le Costa Rica au <a target=""_blank"" href=""http://lunalodge.com/"">Luna Lodge</a> du 5 au 12 avril 2015<br />&nbsp;&nbsp; Pr&eacute;sentation du s&eacute;jour d&#39;une semaine avec Marianne Girard et <a target=""_blank"" href=""https://www.facebook.com/yogiyogamontreal/info?tab=overview"">Isabel Gingras</a> de <a target=""_blank"" href=""http://yogiyoga.ca/"">yogi yoga</a><br /><br />Toute la journ&eacute;e:<br />venez rencontrer Joelle du groupe d&#39;achat &quot;Tout le monde tout cru&quot;. Venez conna&icirc;tre le fonctionnement de nos groupes d&#39;achat.<br /><br />&nbsp;</p>","<p><span style=""color:#A13232;""><strong>GRATUIT!</strong></span></p>","","","<p>Si vous r&eacute;servez, merci de nous sp&eacute;cifier l&#39;heure de la conf&eacute;rence qui vous int&eacute;resse!</p>","","<p>7 conf&eacute;rences - 7 pr&eacute;sentateurs - GRATUIT<br />&nbsp; 10h Un syst&egrave;me immunitaire efficace pour l&#39;hiver<br />&nbsp; 11h Les bienfaits du massage: la sant&eacute; par les mains!<br />&nbsp; 12h Enfin j&#39;&eacute;quilibre ma vie! Atelier anim&eacute; et participatif avec la roue des 7 jardins.<br />&nbsp; 13h AU FOND DE L&#39;EAU<br />&nbsp; 14h D&eacute;couvrir l&#39;Om&eacute;ga juicer - le &quot;juicer&quot;!!<br />&nbsp; 15h Des smoothies pour tous les go&ucirc;ts!<br />&nbsp; 16h Une retraite de yoga au Costa Rica?</p>"
10,0,450-474-5078,"Savons 2","<p class=""MsoNormal""><span style=""color:#222222;mso-fareast-language:FR-CA"">Apprenez comment cr&eacute;er vos propres formules de savons selon les diff&eacute;rentes huiles et beurres v&eacute;g&eacute;taux et en fonctions des diff&eacute;rents types de peau. <o:p></o:p></span></p><p class=""MsoNormal""><span style=""color:#222222;mso-fareast-language:FR-CA"">&nbsp;Vous apprendrez&nbsp;: <o:p></o:p></span></p><ul><li class=""MsoNormal""><span style=""color:#222222;mso-fareast-language:FR-CA"">les propri&eacute;t&eacute;s des diff&eacute;rentes huiles et beurres v&eacute;g&eacute;taux<o:p></o:p></span></li><li class=""MsoNormal""><span style=""color:#222222;mso-fareast-language:FR-CA"">les propri&eacute;t&eacute;s des huiles essentielles pour la peau<o:p></o:p></span></li><li class=""MsoNormal""><span style=""color:#222222;mso-fareast-language:FR-CA"">les indices de saponification<o:p></o:p></span></li><li class=""MsoNormal""><span style=""color:#222222;mso-fareast-language:FR-CA"">le calcul de soude<o:p></o:p></span></li></ul><p class=""MsoNormal""><span style=""color:#222222;mso-fareast-language:FR-CA"">Apr&egrave;s cet atelier, vous pourrez cr&eacute;er vos propres savons personnalis&eacute;s!</span><br />Avec Marie Dionne, aromath&eacute;rapeute et fondatrice de Vivia&nbsp;<br />Pr&eacute;-requis: avoir suivi l&#39;atelier savons solides pour d&eacute;butants.<span style=""color:#222222;mso-fareast-language:FR-CA""><o:p></o:p></span></p>","<p>35$ pas d&#39;&eacute;chantillon</p>","","","<p>R&eacute;servez votre place en laissant un d&eacute;p&ocirc;t de 10$ &agrave; l&#39;&Eacute;co-Boutique Un Monde &agrave; Vie.<br />(D&eacute;p&ocirc;t non remboursable si annulation de votre part &agrave; moins d&#39;une semaine d&#39;avis)</p>",/media/atelier_image/Stamped-Soap-Bars_wLmHQWd.jpg,"<p>Suite de l&#39;atelier #1. Vous devez d&eacute;j&agrave; fabriqu&eacute; des savons pour suivre cet atelier</p>"
