id,day,hourStart,hourEnd,conferenceId,isFull
1,2014-10-26,14:00:00,16:30:00,1,0
2,2014-12-07,10:00:00,12:00:00,2,0
3,2016-01-30,11:30:00,14:30:00,3,0
4,2016-03-05,09:00:00,11:00:00,4,0
5,2016-03-05,11:30:00,14:30:00,5,0
6,2015-03-01,13:00:00,16:30:00,6,0
12,2015-10-04,13:00:00,14:00:00,8,0
13,2015-01-17,10:00:00,16:00:00,9,0
14,2015-11-22,15:00:00,17:30:00,10,0
15,2016-03-05,15:00:00,17:00:00,11,0
16,2016-01-30,15:00:00,17:00:00,12,0
17,2015-02-07,13:00:00,15:00:00,13,0
18,2015-03-29,13:00:00,15:00:00,7,0
19,2015-03-22,13:00:00,15:00:00,15,0
20,2015-02-21,09:00:00,16:30:00,16,0
21,2015-05-03,13:00:00,16:00:00,17,0
22,2015-02-22,13:00:00,15:00:00,14,0
24,2015-02-28,14:00:00,16:00:00,19,0
26,2016-05-07,09:30:00,12:00:00,21,0
28,2016-01-30,09:00:00,11:00:00,22,0
30,2015-05-16,09:30:00,16:30:00,24,0
31,2016-02-06,15:00:00,16:00:00,25,0
40,2015-05-30,11:00:00,12:00:00,30,0
46,2016-01-30,19:00:00,20:45:00,31,0
47,2016-03-10,15:00:00,18:00:00,32,0
48,2015-07-11,13:00:00,13:50:00,33,0
49,2015-09-13,13:00:00,14:00:00,34,0
50,2016-06-11,13:15:00,15:00:00,35,0
52,2016-05-21,13:15:00,15:00:00,37,0
62,2016-03-19,10:30:00,12:00:00,40,0
64,2015-08-30,09:00:00,09:55:00,41,0
65,2015-08-30,10:00:00,10:50:00,41,0
66,2015-08-30,11:00:00,11:55:00,41,0
67,2015-08-30,13:00:00,13:55:00,41,0
68,2015-08-30,14:00:00,14:55:00,41,0
69,2015-08-30,15:00:00,15:55:00,41,0
70,2015-08-30,12:00:00,12:55:00,41,0
73,2015-09-19,11:00:00,14:00:00,18,0
74,2015-12-05,11:00:00,14:00:00,44,0
94,2016-07-08,19:00:00,21:00:00,39,0
95,2016-07-09,09:00:00,16:45:00,39,0
96,2016-09-09,19:00:00,21:00:00,39,0
97,2016-09-10,09:00:00,16:45:00,39,0
98,2016-10-14,19:00:00,21:00:00,39,0
99,2016-10-15,09:00:00,16:45:00,39,0
100,2016-11-11,19:00:00,21:00:00,39,0
101,2016-11-12,09:00:00,16:45:00,39,0
102,2016-12-09,19:00:00,21:00:00,39,0
103,2016-12-10,09:00:00,16:45:00,39,0
106,2015-10-25,15:00:00,16:30:00,47,0
108,2015-09-27,13:15:00,14:15:00,49,0
111,2015-12-05,10:00:00,16:30:00,52,0
115,2016-03-06,13:30:00,16:00:00,54,0
116,2016-03-20,13:30:00,16:00:00,54,0
117,2016-03-27,13:30:00,16:00:00,54,0
118,2016-04-03,13:30:00,16:00:00,54,0
120,2016-01-23,13:15:00,16:15:00,55,0
121,2016-01-16,15:00:00,16:00:00,56,0
122,2016-04-02,01:00:00,11:00:00,28,0
123,2016-03-19,13:30:00,14:30:00,26,0
124,2016-01-16,10:00:00,13:30:00,29,0
125,2016-03-04,09:30:00,11:00:00,57,0
126,2016-03-11,09:30:00,11:00:00,57,0
127,2016-03-18,09:30:00,11:00:00,57,0
128,2016-03-25,09:30:00,11:00:00,57,0
129,2016-04-01,09:30:00,11:00:00,57,0
130,2016-01-16,09:30:00,10:25:00,58,0
131,2016-01-16,11:30:00,12:30:00,59,0
132,2016-01-16,10:30:00,11:15:00,60,0
133,2016-03-19,15:00:00,16:00:00,61,0
134,2016-03-19,09:30:00,10:15:00,50,0
135,2016-03-12,13:15:00,16:15:00,62,0
136,2016-04-02,13:15:00,16:15:00,62,0
137,2016-04-23,13:15:00,16:15:00,63,0
139,2016-03-13,13:00:00,16:00:00,65,0
140,2016-04-09,09:30:00,12:00:00,20,0
141,2016-04-09,13:15:00,15:45:00,23,0
142,2016-05-07,13:15:00,15:45:00,66,0
143,2016-04-23,09:30:00,12:00:00,67,0
144,2016-03-24,17:30:00,18:30:00,27,0
145,2016-04-02,11:00:00,12:00:00,27,0
146,2016-04-14,17:30:00,18:30:00,27,0
