id,isFull,hourStart,hourEnd,dayNameId,scheduleId,dayEnd,dayStart
3,0,20:00:00,21:15:00,2,3,2016-06-14,2016-01-12
5,0,18:30:00,19:45:00,2,4,2016-06-14,2016-01-12
9,0,15:30:00,16:40:00,4,6,2016-05-26,2016-01-07
10,0,10:00:00,11:00:00,3,7,2016-04-06,2016-01-13
12,0,13:30:00,15:00:00,3,11,2016-03-30,2016-01-13
17,0,09:15:00,11:15:00,4,14,2015-06-18,2015-05-07
18,0,12:00:00,13:15:00,5,6,2016-05-27,2016-01-08
19,0,13:00:00,14:15:00,2,15,2016-06-13,2016-01-12
21,0,09:30:00,11:00:00,5,17,2016-04-01,2016-03-04
22,0,09:30:00,10:45:00,7,18,2016-06-05,2016-01-17
24,0,11:00:00,12:00:00,7,20,2016-06-05,2016-01-17
25,0,20:00:00,21:00:00,4,21,2015-03-26,2015-02-12
26,0,13:15:00,14:30:00,4,22,2015-05-14,2015-03-19
27,0,18:30:00,19:45:00,3,23,2016-04-27,2016-01-13
29,0,15:00:00,16:30:00,2,25,2016-05-31,2016-01-12
30,0,19:15:00,21:15:00,4,26,2015-12-10,2015-10-29
31,0,11:30:00,18:00:00,3,27,2015-06-17,2015-06-03
32,0,19:00:00,20:30:00,5,28,2016-04-29,2016-02-26
33,0,13:00:00,16:00:00,1,29,2015-06-29,2015-05-25
34,0,11:30:00,15:00:00,4,30,2015-12-10,2015-10-01
38,0,10:00:00,11:15:00,1,32,2016-02-08,2016-01-18
39,0,15:30:00,16:30:00,1,33,2016-06-13,2016-01-11
40,0,18:00:00,19:00:00,4,34,2016-02-11,2016-01-07
43,0,11:00:00,12:30:00,2,36,2016-05-31,2016-01-12
44,0,09:15:00,10:30:00,6,37,2015-12-19,2015-12-19
46,0,18:00:00,19:20:00,1,6,2016-05-30,2016-01-18
47,0,20:00:00,21:15:00,3,24,2016-04-27,2016-01-13
48,0,19:30:00,20:45:00,4,39,2016-04-14,2016-01-21
52,0,16:15:00,17:30:00,3,6,2016-04-27,2016-01-11
53,0,19:30:00,20:45:00,1,6,2016-05-30,2016-01-25
