id,name,description,courseId
3,"Yoga doux","<p>Une pratique amenant une relaxation importante par son rythme plus lent et ses postures ax&eacute;es sur la flexibilit&eacute; et la d&eacute;tente.</p>",2
4,"Yoga en force","Un cours où les postures seront en alternance statique et en mouvement offrant un défi de force, d'endurance et d'équilibre plus grand.",2
6,Yoga,"",4
7,"Qi Gong","Dans un même cours, il y a de la méditation, de l'automassage et plusieurs courtes formes d'exercices coordonnées avec la respiration. Les cours comprennent des étirements très simples et faciles à mémoriser. 
<ul>
Le Qi Gong agit, entre autre, sur la circulation énergétique, favorise la régénérescence des tissus et ralenti l'usure de l'organisme en espérant augmenter notre longévité.",5
11,"Taï Chi - Gymnastique sensorielle","<p><b>Introspection - Mouvements - Partage </b><br /><br />Une m&eacute;ditation en mouvement&hellip;<br /><br />&Agrave; travers une gamme d&#39;exercices simples et gr&acirc;cieux, qui se font assis ou debout, dans une lenteur rel&acirc;ch&eacute;e, avec ou sans musique, ces mouvements permettent d&#39;entretenir un &eacute;tat de fluidit&eacute; au niveau articulaire, de r&eacute;duire le stress, l&#39;anxi&eacute;t&eacute; et la douleur, d&#39;enrichir ses savoirs et la confiance en soi.<br /><br />Johanne vous accompagnera &agrave; cr&eacute;er les conditions pour: se rencontrer, rencontrer les diff&eacute;rentes parties de soi, les accueillir, ressentir son corps et retrouver le plaisir de l&#39;habiter.<br /><br />Ces mouvements s&#39;adressent aux personnes de tout &acirc;ge.<br />Chaque cours est adapt&eacute; aux besoins du groupe.<br /><br />Pour les personnes d&eacute;sirant apprendre &agrave; :</p><ul><li>&Ecirc;tre dans le moment pr&eacute;sent</li><li>Relaxer et prendre un temps pour soi</li><li>&Ecirc;tre plus &agrave; l&#39;&eacute;coute de son corps et de ses besoins</li><li>Retrouver un bien-&ecirc;tre (sensation d&#39;unit&eacute; corps-esprit)</li></ul><p>Cours avec th&eacute;matiques:</p><ul><li>Encha&icirc;nement de mouvements</li><li>Coordination</li><li>Rythme et vitalit&eacute;</li><li>Mouvements pour le dos</li><li>Accordage corps/psychisme</li><li>Relation &agrave; soi et aux autres</li></ul><p>Johanne guide des rencontres, depuis plusieurs ann&eacute;es, dans un climat d&#39;accueil, de respect et de confiance propice &agrave; la d&eacute;tente et &agrave; la rencontre avec son corps et son monde int&eacute;rieur.<br /><br />Elle offre aussi des rencontres individuelles et des soins th&eacute;rapeutiques de fasciath&eacute;rapie et de drainage lymphatique.</p>",6
12,"Méditation","<p>Un entra&icirc;nement en 11 &eacute;tapes<br />11 facteurs mentaux vertueux</p><p>19 oct &bull; Des actions saines pour un esprit sain<br />26 oct &bull; La libert&eacute; du d&eacute;tachement<br />2 nov &bull; Un esprit calme et positif<br />9 nov &bull; Les bienfaits de la sagesse<br />16 nov &bull; La flexibilit&eacute; de l&rsquo;esprit<br />23 nov &bull; Prot&eacute;g&eacute; de la n&eacute;gativit&eacute;<br />30 nov &bull; La compassion</p>",8
13,"Yoga prénatal","<p class=""MsoNormal"" style=""line-height: 20.7999992370605px;"">Le yoga pr&eacute; natal se veut une excellente introduction dans le monde du yoga. Les s&eacute;ances comprennent des asanas, (postures) simples, des pranayamas (techniques de respiration) et des bandhas (contractions musculaires). Les s&eacute;ances se termineront toujours par une relaxation.</p><p class=""MsoNormal"" style=""line-height: 20.7999992370605px;"">Le yoga pr&eacute; natal est une excellente occasion de vivre sa grossesse dans la confiance et la &laquo;&nbsp;pleine conscience&nbsp;&raquo;. Les s&eacute;ances aident &agrave; assouplir le corps,&nbsp; elles aident &agrave; contr&ocirc;ler la&nbsp; respiration, &agrave; prendre conscience de chaque &eacute;tape de la grossesse et procurent un effet de bien-&ecirc;tre g&eacute;n&eacute;ral chez la maman.</p><p class=""MsoNormal"" style=""line-height: 20.7999992370605px;"">Un cours qui peut vous aider durant la grossesse, la maternit&eacute;&hellip; ou toute la vie!</p><p class=""MsoNormal"" style=""line-height: 20.7999992370605px;"">Bienvenue &agrave; toutes.</p>",9
14,"Qi Gong Céline Gagné","<p class=""MsoNormal"" style=""margin-bottom:0cm;margin-bottom:.0001pt;line-height:
150%""><span style=""font-size:12.0pt;line-height:150%;font-family:&quot;Arial&quot;,&quot;sans-serif&quot;;
color:#404040"">Le Qi Gong est un art de sant&eacute; qui r&eacute;unit diff&eacute;rentes techniques corporelles, respiratoires et m&eacute;ditatives issues de la tradition chinoise. Ces exercices sont pratiqu&eacute;s depuis des mill&eacute;naires pour leurs bienfaits autant sur le plan de la sant&eacute; physique, &eacute;motionnelle que mentale. Le terme Qi (Chi) fait r&eacute;f&eacute;rence &agrave; cette force de vie qui soutient notre &ecirc;tre et le terme Gong d&eacute;signe l&rsquo;entra&icirc;nement. En route vers une &eacute;nergie plus libre et gu&eacute;rissante.<o:p></o:p></span></p><p class=""MsoNormal"" style=""margin-bottom:0cm;margin-bottom:.0001pt;line-height:
150%""><b><span style=""font-size:12.0pt;line-height:150%;font-family:&quot;Arial&quot;,&quot;sans-serif&quot;;
color:#404040""><o:p>&nbsp;</o:p></span></b><b><span style=""font-size:12.0pt;line-height:150%;font-family:&quot;Arial&quot;,&quot;sans-serif&quot;;
color:#404040"">Au programme</span></b><br /><span style=""font-size:12.0pt;
line-height:150%;font-family:&quot;Arial&quot;,&quot;sans-serif&quot;;color:#404040"">Apprentissage du ZhiNeng Qi Gong 2&egrave; m&eacute;thode, Nul besoin d&rsquo;avoir suivi le 1er pour s&rsquo;int&eacute;grer au groupe.&nbsp;<br /><a target=""_blank"" href=""http://etreenmouvement.qigongmontreal.info/cours/zhi-neng-qi-gong/"">Visitez le site de site de Mme Gagn&eacute; pour plus de d</a></span><a target=""_blank"" href=""http://etreenmouvement.qigongmontreal.info/cours/zhi-neng-qi-gong/""><span style=""font-size:12.0pt;line-height:150%;font-family:&quot;Arial&quot;,&quot;sans-serif&quot;"">&eacute;tails</span></a><span style=""font-size:12.0pt;line-height:150%;font-family:&quot;Arial&quot;,&quot;sans-serif&quot;;
color:#404040""><a target=""_blank"" href=""http://etreenmouvement.qigongmontreal.info/cours/zhi-neng-qi-gong/"">.&nbsp;</a><o:p></o:p></span></p>",10
15,"Yoga sur chaise","<p class=""MsoNormal"">Yoga adapt&eacute; aux ain&eacute;s et aux personnes &agrave; mobilit&eacute; r&eacute;duite.<br />Toutefois ce yoga peut &ecirc;tre pratiqu&eacute; par tous.<br />Nous effectuons des techniques de respiration,&nbsp;des salutations au soleil et des postures de yoga sur chaise, debout et couch&eacute;es.<o:p></o:p></p><p class=""MsoNormal"">Vous aurez le m&ecirc;me effet b&eacute;n&eacute;fique du yoga&hellip;<br />(Formation faite avec Carole Morency)<o:p></o:p></p>",3
17,"5 ateliers avec Marie-Andrée Beaumier","<p>Appelez d&egrave;s maintenant pour r&eacute;server votre place ou passez &agrave; la boutique pour laisser un d&eacute;p&ocirc;t de 10$.&nbsp;</p><p>Pour plus de renseignements ou pour vous inscrire, veuillez communiquer directement avec&nbsp;<br />Marie-Andr&eacute;e Beaumier au 450-474-6085.&nbsp;</p><p><br />Une maman de l&rsquo;atelier de l&rsquo;automne a &eacute;crit ceci :<br />Ce que j&rsquo;ai aim&eacute; : &laquo; Tout, les conseils, les r&eacute;flexions sur les diff&eacute;rents sujets et surtout d&rsquo;avoir trouv&eacute; une hom&eacute;opathe pour des consultations ult&eacute;rieures. &raquo; Appr&eacute;ciation de l&rsquo;enseignante : &laquo; Tr&egrave;s sympathique, tr&egrave;s comp&eacute;tente, tr&egrave;s gentille, tr&egrave;s disponible, etc &raquo;<br />Sophie Beauchamp, comptable.</p>",11
